625 DEBUG  [main]  Spider  - Start :b
625 DEBUG  [main]  Spider  - End :b
625 DEBUG  [main]  Spider  - End :a
625 DEBUG  [main]  Spider  - End :font
625 DEBUG  [main]  Spider  - Start :font
625 DEBUG  [main]  Spider  - End :font
625 DEBUG  [main]  Spider  - End :td
625 DEBUG  [main]  Spider  - End :tr
625 DEBUG  [main]  Spider  - End :table
625 DEBUG  [main]  Spider  - End :td
625 DEBUG  [main]  Spider  - End :tr
625 DEBUG  [main]  Spider  - End :table
765 DEBUG  [main]  Spider  - Start :table
765 DEBUG  [main]  Spider  - Start :tr
765 DEBUG  [main]  Spider  - Start :td
765 DEBUG  [main]  Spider  - Start :table
765 DEBUG  [main]  Spider  - Start :tr
765 DEBUG  [main]  Spider  - Start :td
765 DEBUG  [main]  Spider  - Start :table
765 DEBUG  [main]  Spider  - Start :tr
765 DEBUG  [main]  Spider  - Start :td
765 DEBUG  [main]  Spider  - Start :font
765 INFO  [main]  Spider  - a r/cr
781 DEBUG  [main]  Spider  - End :a
781 DEBUG  [main]  Spider  - Simple Tag :br
781 INFO  [main]  Spider  - a r/yc
781 DEBUG  [main]  Spider  - End :a
781 DEBUG  [main]  Spider  - Simple Tag :br
781 INFO  [main]  Spider  - a r/sq
781 DEBUG  [main]  Spider  - End :a
781 DEBUG  [main]  Spider  - Simple Tag :br
781 INFO  [main]  Spider  - a r/pl
781 DEBUG  [main]  Spider  - End :a
781 DEBUG  [main]  Spider  - Simple Tag :br
781 INFO  [main]  Spider  - a r/g3
781 DEBUG  [main]  Spider  - End :a
781 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/gp
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/wm
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - End :font
797 DEBUG  [main]  Spider  - End :td
797 DEBUG  [main]  Spider  - Start :td
797 DEBUG  [main]  Spider  - Start :font
797 INFO  [main]  Spider  - a r/h1
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/jb
797 DEBUG  [main]  Spider  - Simple Tag :img
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/yg
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/m2
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/mp
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/p2
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/oa
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - End :font
797 DEBUG  [main]  Spider  - End :td
797 DEBUG  [main]  Spider  - Start :td
797 DEBUG  [main]  Spider  - Start :font
797 INFO  [main]  Spider  - a r/mf
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/uf
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/i2
